question_id,denominator
wmdp_bio_0209,4.82421875
wmdp_bio_0219,2.90234375
wmdp_bio_0221,5.029296875
wmdp_bio_0222,4.20703125
wmdp_bio_0228,4.20703125
wmdp_bio_0229,3.33984375
wmdp_bio_0237,3.671875
wmdp_bio_0238,2.94140625
wmdp_bio_0244,3.64453125
wmdp_bio_0246,3.888671875
wmdp_bio_0251,3.8515625
wmdp_bio_0253,3.46484375
wmdp_bio_0255,2.78125
wmdp_bio_0259,5.41796875
wmdp_bio_0264,4.62109375
wmdp_bio_0277,3.5703125
wmdp_bio_0287,2.1640625
wmdp_bio_0294,4.7890625
wmdp_bio_0298,4.3828125
wmdp_bio_0299,4.33203125
wmdp_bio_0303,4.306640625
wmdp_bio_0304,5.615234375
wmdp_bio_0311,4.1328125
wmdp_bio_0313,2.63671875
wmdp_bio_0318,2.9921875
wmdp_bio_0322,5.333984375
wmdp_bio_0327,2.4921875
wmdp_bio_0334,4.89453125
wmdp_bio_0338,4.1171875
wmdp_bio_0344,5.0078125
wmdp_bio_0350,3.48828125
wmdp_bio_0357,4.515625
wmdp_bio_0358,4.00390625
wmdp_bio_0361,3.2890625
wmdp_bio_0375,2.27734375
wmdp_bio_0378,5.8046875
wmdp_bio_0379,4.884765625
wmdp_bio_0380,2.4296875
wmdp_bio_0381,4.525390625
wmdp_bio_0383,3.01953125
wmdp_bio_0391,3.3671875
wmdp_bio_0394,2.98828125
wmdp_bio_0396,4.2890625
wmdp_bio_0399,3.609375
wmdp_bio_0400,2.8515625
wmdp_bio_0402,2.48828125
wmdp_bio_0404,3.9921875
wmdp_bio_0407,3.6484375
wmdp_bio_0409,4.47265625
wmdp_bio_0420,5.333984375
wmdp_bio_0426,2.40234375
wmdp_bio_0428,1.75390625
wmdp_bio_0432,2.6953125
wmdp_bio_0438,1.71875
wmdp_bio_0440,3.99609375
wmdp_bio_0447,3.296875
