layer,restored_n,n,restoration_rate
0,0,56,0.0
1,0,56,0.0
2,0,56,0.0
3,0,56,0.0
4,0,56,0.0
5,0,56,0.0
6,2,56,0.03571428571428571
7,0,56,0.0
8,1,56,0.017857142857142856
9,2,56,0.03571428571428571
10,2,56,0.03571428571428571
11,5,56,0.08928571428571429
12,6,56,0.10714285714285714
13,6,56,0.10714285714285714
14,10,56,0.17857142857142858
15,13,56,0.23214285714285715
16,13,56,0.23214285714285715
17,13,56,0.23214285714285715
18,23,56,0.4107142857142857
19,28,56,0.5
20,29,56,0.5178571428571429
21,37,56,0.6607142857142857
22,37,56,0.6607142857142857
23,38,56,0.6785714285714286
24,51,56,0.9107142857142857
25,51,56,0.9107142857142857
26,52,56,0.9285714285714286
27,52,56,0.9285714285714286
28,52,56,0.9285714285714286
29,52,56,0.9285714285714286
30,53,56,0.9464285714285714
31,55,56,0.9821428571428571
32,55,56,0.9821428571428571
33,53,56,0.9464285714285714
34,56,56,1.0
35,56,56,1.0
