layer,mean,median,q25,q75
0,-0.00029762280467026064,-0.0003305347894054196,-0.0006883462228916616,0.00019434244340892686
1,-0.001512846964994781,-0.001153888304876059,-0.002441631745628855,-0.000349399663881451
2,-0.0060899061606323555,-0.00548924487979149,-0.009343413822378598,-0.0028064384684756724
3,-0.005162977884787694,-0.004332283432036208,-0.007081828046799363,-0.001103473449867877
4,-0.0028466487614677983,-0.002266857262759388,-0.007271272173479435,0.0007028735887150253
5,0.0030378680697278147,0.002601582994979995,-0.003160668423195925,0.007939529451765369
6,-7.232129700446704e-05,0.0008360414896901546,-0.004980889090793674,0.005341332894002647
7,-0.005736542384399137,-0.004002203250000114,-0.011046769399438286,0.0015103200453064974
8,0.003034301469169427,0.004113358955896023,-0.0034230147407234377,0.011883883750879617
9,0.010057022767415776,0.010973920771443265,-0.0012644081270201054,0.019208222790624407
10,0.013737210066132629,0.013592161565277025,-0.0014357731322115893,0.02488056062160534
11,0.016731455134491178,0.01764073084623604,0.0015833272697331887,0.028958576985266483
12,0.015318566207463333,0.018510187462570694,-0.002095172471643164,0.029095286632375643
13,0.025122423878638882,0.024016347569313964,0.008094888600502021,0.03716717620773758
14,0.06272980641359997,0.05081179961155208,0.027697724823389402,0.08083682906370318
15,0.08040790430643023,0.06499406663571174,0.04083705307287385,0.10327370371105755
16,0.09916932501538006,0.08645387156706166,0.05584872449449856,0.1309997086123824
17,0.07674376303033763,0.06991778675159038,0.048162607819069,0.1057587288284922
18,0.0978054831223891,0.08457051320038649,0.06516552303691167,0.1201404996298327
19,0.13218186356475609,0.11295419751213162,0.09011503116442744,0.1569358462108255
20,0.13224274965661412,0.11730725080728066,0.09276127362905573,0.16734558623876544
21,0.13743206380238315,0.1216553245163276,0.10361900086506179,0.16806997317422886
22,0.16065875120128104,0.1424254509872368,0.11681432653201669,0.1942118154568374
23,0.18208620343238446,0.1654570283292437,0.13532403257651787,0.22450785689082298
24,0.2242185182695678,0.21146253566232817,0.1718328397947128,0.2700752116759116
25,0.2269759693447014,0.21687044736420247,0.17305211520646904,0.27043793234797237
26,0.22799264301265493,0.21658348550371603,0.17494712468569096,0.26374608447930425
27,0.22850741816053868,0.21497080693650938,0.1752491889220005,0.2673156162542847
28,0.23018600487648225,0.21851535420964496,0.18065783030456012,0.2686634520599836
29,0.23109484210906792,0.21905830403858367,0.18249336181284703,0.27167710866757877
30,0.24355621668712424,0.22735229124866968,0.19058253294126848,0.28440529078148374
31,0.24522108205401555,0.2250332857282612,0.18902953577042353,0.2901819588696125
32,0.25345921096445484,0.2403504877862984,0.2021903654721539,0.30057794382039726
33,0.26467709494913677,0.25045571673003536,0.21180265722138233,0.31841189688495763
34,0.25394387253521905,0.24470856522336043,0.21722495065718272,0.28765497282969943
35,0.2654602652644052,0.250366808033622,0.221094871216658,0.3023419528283584
